Sample	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
7240	23681424	924101	16946687	5810636	96.1
7241	21086247	782376	15667897	4635974	96.29
7242	27196442	1134819	18377344	7684279	95.83
7243	22299255	747093	17758852	3793310	96.65
7244	21005969	788642	13036525	7180802	96.25
7245	26819260	1189262	21146707	4483291	95.57
7246	19513449	646902	11450759	7415788	96.68
7247	18650640	731009	12102556	5817075	96.08
7248	17415663	674190	13789670	2951803	96.13
7249	25074456	1124639	18511194	5438623	95.51
7250	24774584	1145082	20635855	2993647	95.38
7251	45138337	2212025	25685953	17240359	95.1
7252	23542425	1107577	19722729	2712119	95.3
7253	34221040	1646427	27590469	4984144	95.19
7254	23879035	1061647	19963724	2853664	95.55
7255	24319464	1008519	20131656	3179289	95.85
7256	13399300	451960	11334610	1612730	96.63
7257	22134440	637429	12413940	9083071	97.12
7258	89242772	3829987	35799977	49612808	95.71
7259	18223360	701285	14332646	3189429	96.15
7260	26942446	1015459	17619799	8307188	96.23
7261	25494642	1029289	17075229	7390124	95.96
7262	29924289	1154972	14831789	13937528	96.14
7263	21248208	889436	16619003	3739769	95.81
7264	24484821	744171	19359664	4380986	96.96
7265	22661654	900778	16826527	4934349	96.03
7266	18681174	744784	13227114	4709276	96.01
7267	23576262	1046646	17408610	5121006	95.56
7268	22519253	946049	15864937	5708267	95.8
7269	20332000	604069	6080922	13647009	97.03
